MMSI,STATUS,STATION_ID,SPEED,LON,LAT,COURSE,HEADING,ROT,2013-07-01 17:43:00
311040700,0,688,158,33.89908,34.23135,287,287,NULL,2013-07-01 17:39:00
311040700,0,689,198,34.68541,33.58361,55,56,NULL,2013-07-01 17:38:00
247039300,0,690,155,13.90118,44.22927,145,145,NULL,2013-07-01 17:41:00
311040700,0,691,198,34.69083,33.58672,55,55,NULL,2013-07-01 17:36:00
247039300,0,693,155,13.9053,44.22505,144,145,NULL,2013-07-01 17:36:00
247039300,0,694,155,13.90917,44.2211,144,145,NULL,2013-07-01 17:39:00
311040700,0,695,198,34.70501,33.59457,57,57,NULL,2013-07-01 17:40:00
247039300,0,697,155,13.92013,44.20984,144,145,NULL,2013-07-01 17:40:00
311040700,0,698,198,34.71932,33.60245,56,56,NULL,2013-07-01 17:38:00
247039300,0,699,155,13.92433,44.20555,144,145,NULL,2013-07-01 17:39:00
247039300,0,700,156,13.92818,44.20163,144,145,NULL,2013-07-01 17:36:00
311040700,0,701,197,34.73141,33.60904,57,56,NULL,2013-07-01 17:44:00
311040700,0,702,198,34.73692,33.61204,56,56,NULL,2013-07-01 17:42:00
247039300,0,703,156,13.93227,44.19747,144,145,NULL,2013-07-01 17:35:00
247039300,0,704,156,13.93613,44.1935,144,145,NULL,2013-07-01 17:44:00
311040700,0,705,197,34.74463,33.61625,57,57,NULL,2013-07-01 17:35:00
247039300,0,706,156,13.94062,44.18887,144,145,NULL,2013-07-01 17:34:00
311040700,0,707,197,34.75455,33.62163,56,56,NULL,2013-07-01 17:34:00
247039300,0,708,156,13.94537,44.18393,145,145,NULL,2013-07-01 17:35:00
311040700,0,710,197,34.77545,33.63301,56,57,NULL,2013-07-01 17:41:00
311040700,0,711,197,34.78316,33.63719,56,56,NULL,2013-07-01 17:43:00
247039300,0,712,155,13.96585,44.16255,145,145,NULL,2013-07-01 17:39:00
311040700,0,713,198,34.7975,33.64496,56,57,NULL,2013-07-01 17:40:00
311040700,0,714,197,34.81533,33.65456,57,56,NULL,2013-07-01 17:43:00
311040700,0,715,199,34.85247,33.67465,56,56,NULL,2013-07-01 17:42:00
247039300,0,716,156,14.00737,44.11873,145,145,NULL,2013-07-01 17:35:00
247039300,0,717,156,14.01152,44.11438,145,145,NULL,2013-07-01 17:38:00
311040700,0,718,198,34.86767,33.68335,55,55,NULL,2013-07-01 17:41:00
311040700,0,719,199,34.87584,33.68802,55,55,NULL,2013-07-01 17:36:00
247039300,0,721,156,14.01968,44.10585,145,145,NULL,2013-07-01 17:37:00
311040700,0,722,199,34.88338,33.69238,55,54,NULL,2013-07-01 17:35:00
311040700,0,723,199,34.89551,33.69931,55,54,NULL,2013-07-01 17:41:00
247039300,0,724,156,14.0359,44.08952,141,140,NULL,2013-07-01 17:37:00
311040700,0,726,199,34.91028,33.70773,55,55,NULL,2013-07-01 17:37:00
247039300,0,727,156,14.04037,44.08558,140,140,NULL,2013-07-01 17:35:00
311040700,0,728,199,34.91632,33.71118,56,55,NULL,2013-07-01 17:41:00
311040700,0,729,199,34.92453,33.71588,55,54,NULL,2013-07-01 17:37:00
247039300,0,730,155,14.06,44.06922,138,138,NULL,2013-07-01 17:41:00
311040700,0,731,199,34.95195,33.73156,56,55,NULL,2013-07-01 17:44:00
247039300,0,732,156,14.07345,44.05813,138,138,NULL,2013-07-01 17:34:00
311040700,0,733,199,34.95799,33.73501,55,55,NULL,2013-07-01 17:35:00
247039300,0,734,156,14.0779,44.05453,138,138,NULL,2013-07-01 16:37:00
311040700,0,735,199,34.96412,33.73849,55,55,NULL,2013-07-01 17:41:00
311040700,0,736,199,34.97112,33.74251,55,55,NULL,2013-07-01 17:43:00
247039300,0,737,156,14.08855,44.04575,138,138,NULL,2013-07-01 17:41:00
311040700,0,738,198,34.97879,33.74686,55,55,NULL,2013-07-01 17:39:00
247039300,0,739,155,14.09313,44.04197,139,138,NULL,2013-07-01 17:37:00
311040700,0,740,196,34.98642,33.75117,56,55,NULL,2013-07-01 17:36:00
247039300,0,741,155,14.0982,44.03762,139,138,NULL,2013-07-01 17:34:00
311040700,0,743,194,34.9929,33.75483,56,55,NULL,2013-07-01 17:42:00
311040700,0,744,193,34.99825,33.75782,56,55,NULL,2013-07-01 17:38:00
247039300,0,746,156,14.10808,44.02943,139,138,NULL,2013-07-01 17:40:00
311040700,0,747,190,35.00882,33.76375,56,54,NULL,2013-07-01 17:35:00
247039300,0,748,155,14.1132,44.02517,138,138,NULL,2013-07-01 17:35:00
311040700,0,749,187,35.01614,33.76783,56,55,NULL,2013-07-01 17:37:00
311040700,0,750,185,35.02281,33.77159,56,55,NULL,2013-07-01 17:35:00
247039300,0,751,156,14.1236,44.01683,138,139,NULL,2013-07-01 17:42:00
311040700,0,752,183,35.0284,33.77474,55,54,NULL,2013-07-01 17:35:00
311040700,0,753,181,35.03445,33.77811,56,55,NULL,2013-07-01 17:32:00
247039300,0,754,156,14.13205,44.01008,137,138,NULL,2013-07-01 17:42:00
247039300,0,755,157,14.13698,44.00617,137,138,NULL,2013-07-01 17:43:00
311040700,0,757,179,35.04606,33.78451,57,54,NULL,2013-07-01 17:41:00
311040700,0,760,178,35.05246,33.78801,56,54,NULL,2013-07-01 17:37:00
311040700,0,763,178,35.05843,33.79129,56,54,NULL,2013-07-01 17:35:00
247039300,0,764,157,14.15522,43.99154,138,138,NULL,2013-07-01 17:41:00
247039300,0,765,158,14.16092,43.98698,137,138,NULL,2013-07-01 17:44:00
311040700,0,766,179,35.07688,33.80146,56,55,NULL,2013-07-01 17:40:00
247039300,0,767,157,14.17035,43.97952,137,138,NULL,2013-07-01 17:42:00
311040700,0,768,178,35.08273,33.80475,56,54,NULL,2013-07-01 17:40:00
311040700,0,769,178,35.08864,33.80809,56,55,NULL,2013-07-01 17:19:00
311040700,0,770,178,35.09462,33.81146,55,54,NULL,2013-07-01 16:34:00
311040700,0,771,177,35.10333,33.81643,55,55,NULL,2013-07-01 17:41:00
311040700,0,772,177,35.10873,33.81947,56,55,NULL,2013-07-01 17:37:00
311040700,0,773,177,35.11949,33.82553,55,54,NULL,2013-07-01 17:41:00
311040700,0,774,176,35.12533,33.82884,55,55,NULL,2013-07-01 17:37:00
311040700,0,775,176,35.13605,33.83489,55,54,NULL,2013-07-01 17:39:00
311040700,0,776,176,35.14139,33.83794,55,55,NULL,2013-07-01 17:20:00
247039300,0,777,158,14.2218,43.93893,137,138,NULL,2013-07-01 17:37:00
311040700,0,778,176,35.14769,33.84155,55,55,NULL,2013-07-01 17:35:00
247039300,0,779,157,14.22662,43.93507,138,138,NULL,2013-07-01 17:43:00
311040700,0,780,176,35.15349,33.8449,55,54,NULL,2013-07-01 17:39:00
311040700,0,782,176,35.15985,33.84859,55,55,NULL,2013-07-01 16:58:00
311040700,0,783,176,35.17656,33.85826,55,55,NULL,2013-07-01 17:34:00
247039300,0,784,158,14.25093,43.91545,138,138,NULL,2013-07-01 17:43:00
311040700,0,785,176,35.18197,33.86137,55,54,NULL,2013-07-01 02:27:00
247039300,0,786,158,14.25537,43.91188,138,138,NULL,2013-07-01 17:30:00
311040700,0,787,175,35.18728,33.86441,55,55,NULL,2013-07-01 17:14:00
247039300,0,788,157,14.2602,43.90803,137,138,NULL,2013-07-01 17:28:00
311040700,0,789,175,35.19261,33.86744,55,55,NULL,2013-07-01 16:49:00
311040700,0,790,167,35.19705,33.87066,42,39,NULL,2013-07-01 17:36:00
311040700,0,793,170,35.20143,33.87531,39,39,NULL,2013-07-01 17:40:00
